Time, Voltage, Temperature 
30319,1.68990608,24.19
30442,1.6850721,24.19
30566,1.6842664,24.25
30687,1.6858778,24.25
30808,1.6762097,24.25
30929,1.677821,24.25
31048,1.6858778,24.25
31169,1.6915176,24.25
31289,1.6770153,24.25
31410,1.6770153,24.25
31531,1.6842664,24.25
31652,1.6874892,24.25
31772,1.680238,24.25
31891,1.6858778,24.25
32012,1.680238,24.25
32131,1.6891004,24.25
32252,1.6770153,24.25
32373,1.6931288,24.25
32494,1.6891004,24.25
32615,1.6850721,24.25
32739,1.69071168,24.25
32862,1.6866834,24.25
32983,1.6882948,24.25
33103,1.6794324,24.25
33223,1.68990608,24.25
33346,1.6850721,24.19
33470,1.677821,24.19
33589,1.6915176,24.19
33709,1.682655,24.19
33828,1.6874892,24.19
33948,1.6891004,24.25
34069,1.6850721,24.25
34193,1.6923232,24.25
34313,1.682655,24.25
34432,1.6842664,24.25
34555,1.6915176,24.25
34676,1.6850721,24.25
34800,1.6891004,24.25
34921,1.6745982,24.25
35042,1.6866834,24.25
35163,1.6794324,24.25
35283,1.6810436,24.25
35404,1.6770153,24.25
35525,1.6745982,24.25
35646,1.6834607,24.25
35770,1.6874892,24.25
35890,1.6745982,24.25
36011,1.6737926,24.25
36132,1.675404,24.25
36251,1.6786266,24.25
36372,1.6810436,24.25
36493,1.6794324,24.25
36613,1.6850721,24.25
36737,1.682655,24.25
36856,1.6786266,24.25
36977,1.6762097,24.25
37098,1.6858778,24.25
37219,1.6729869,24.25
37340,1.69071168,24.25
37463,1.6858778,24.25
37584,1.682655,24.25
37703,1.6882948,24.25
37823,1.6850721,24.25
37947,1.6850721,24.25
38071,1.68990608,24.25
38194,1.6915176,24.25
38315,1.6810436,24.25
38436,1.6810436,24.25
38557,1.6866834,24.25
38678,1.682655,24.25
38797,1.69071168,24.25
38920,1.68990608,24.25
39043,1.6923232,24.25
39163,1.6891004,24.25
39284,1.6794324,24.25
39404,1.6850721,24.25
39528,1.6810436,24.25
39649,1.6794324,24.25
39770,1.677821,24.25
39889,1.68990608,24.25
40012,1.6786266,24.25
40133,1.6891004,24.25
40257,1.675404,24.25
40377,1.677821,24.25
40496,1.6891004,24.25
40617,1.680238,24.25
40736,1.6721812,24.25
40857,1.6891004,24.25
40978,1.6786266,24.19
41099,1.6745982,24.19
41220,1.6842664,24.19
41341,1.6850721,24.19
41465,1.69554584,24.19
41588,1.6794324,24.19
41709,1.675404,24.19
41828,1.6866834,24.19
41949,1.6923232,24.19
42069,1.6834607,24.19
42193,1.6770153,24.19
42314,1.6834607,24.25
42438,1.69071168,24.25
42561,1.6745982,24.25
42682,1.6810436,24.25
